City,Latitude,Longitudes,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Sisimiut,66.94,-53.67,32.77,94,100,16.06,GL,1600698656
Shache,38.42,77.24,65.17,26,0,21.81,CN,1600698656
Oodweyne,9.41,45.06,89.83,22,100,6.96,SO,1600698656
Buala,-8.14,159.59,80.33,78,12,11.97,SB,1600698656
Alofi,-19.06,-169.92,71.6,94,75,18.01,NU,1600698656
Djibouti,11.5,42.5,91.4,70,1,25.52,DJ,1600698657
Quesnel,53.0,-122.5,50.0,93,90,7.52,CA,1600698657
Chui,-33.7,-53.46,54.16,53,4,20.87,UY,1600698657
Baisha,26.52,110.93,70.25,88,100,5.01,CN,1600698657
Lavrentiya,65.58,-171.0,35.55,85,43,22.06,RU,1600698658
Krasnosel'kup,65.7,82.47,55.35,75,0,55.1,RU,1600698658
Dandong,40.13,124.39,54.73,81,0,3.51,CN,1600698658
Revda,56.8,59.93,39.2,86,40,20.02,RU,1600698658
Murud,18.33,72.97,80.31,87,100,2.06,IN,1600698659
Mahébourg,-20.41,57.7,73.4,69,40,28.52,MU,1600698659
Dicabisagan,17.08,122.42,79.92,81,38,8.9,PH,1600698659
Dombarovskiy,50.76,59.54,45.36,65,72,25.97,RU,1600698659
Half Moon Bay,37.46,-122.43,59.0,100,90,10.51,US,1600698517
Vitim,59.45,112.56,42.94,92,100,5.14,RU,1600698659
Vao,-22.67,167.48,69.51,77,12,41.34,NC,1600698660
Arnprior,45.43,-76.35,57.99,83,0,12.37,CA,1600698660
Fuengirola,36.54,-4.62,84.2,42,0,20.51,ES,1600698660
Maceió,-9.67,-35.74,82.4,69,75,33.53,BR,1600698661
Prosvet,55.57,65.08,39.33,83,100,23.06,RU,1600698661
Ribas do Rio Pardo,-20.44,-53.76,82.9,49,91,24.23,BR,1600698661
Ponta Delgada,37.73,-25.67,71.6,73,20,33.53,PT,1600698661
Bandarbeyla,9.49,50.81,78.01,76,7,67.31,SO,1600698662
Tulum,20.22,-87.47,86.0,74,40,7.52,MX,1600698636
Longyearbyen,78.22,15.64,39.2,69,75,41.03,SJ,1600698662
Chifeng,42.27,118.96,55.92,64,72,16.42,CN,1600698662
Ternate,0.8,127.4,81.36,77,53,7.96,ID,1600698614
Alta Floresta,-9.88,-56.09,77.0,83,90,5.01,BR,1600698662
Polunochnoye,60.87,60.42,35.29,86,83,13.31,RU,1600698663
Atambua,-9.11,124.89,73.94,88,100,7.65,ID,1600698663
Konispol,39.66,20.18,82.4,58,40,11.25,AL,1600698663
Margate,-30.86,30.37,64.63,58,7,49.23,ZA,1600698663
Turukhansk,65.82,87.98,50.14,84,81,36.17,RU,1600698664
Pacific Grove,36.62,-121.92,57.0,80,90,7.52,US,1600698480
Kita,13.03,-9.49,88.21,57,77,12.26,ML,1600698664
Hualmay,-11.1,-77.61,65.05,74,91,18.61,PE,1600698665
Zhangye,38.93,100.45,53.51,81,100,5.14,CN,1600698665
Ipameri,-17.72,-48.16,81.93,34,64,27.42,BR,1600698665
Marystown,47.17,-55.15,54.0,100,99,11.21,CA,1600698665
Pimenta Bueno,-11.67,-61.19,89.92,47,81,10.96,BR,1600698522
Kalabo,-14.97,22.68,99.39,9,0,19.82,ZM,1600698666
Muros,42.78,-9.06,73.99,85,1,31.32,ES,1600698666
Egersund,58.45,6.0,55.0,95,100,2.26,NO,1600698666
Dingle,52.14,-10.27,62.6,77,75,18.01,IE,1600698667
Korla,41.76,86.15,65.75,30,0,3.2,CN,1600698667
Moyale,3.52,39.05,80.49,36,70,26.26,ET,1600698667
Viedma,-40.81,-63.0,60.01,35,8,20.11,AR,1600698645
Te Anau,-45.42,167.72,44.73,84,71,16.51,NZ,1600698668
Senneterre,48.38,-77.23,55.4,66,20,23.02,CA,1600698668
Portland,-38.33,141.6,52.61,78,43,37.54,AU,1600698459
Pevek,69.7,170.31,36.75,85,81,26.87,RU,1600698668
Havelock,34.88,-76.9,66.99,68,1,31.03,US,1600698669
Praia da Vitória,38.73,-27.07,73.99,68,40,22.46,PT,1600698669
Przhevalskoye,55.51,31.85,57.16,82,96,12.95,RU,1600698669
Nísia Floresta,-6.09,-35.21,86.0,66,75,38.52,BR,1600698669
Mitchell,43.71,-98.03,62.6,72,20,18.01,US,1600698670
Camacha,33.08,-16.33,75.2,69,40,20.51,PT,1600698670
Manokwari,-0.87,134.08,79.93,75,12,6.8,ID,1600698670
Kapaa,22.08,-159.32,78.8,78,20,20.51,US,1600698670
Saint Paul Harbor,57.79,-152.41,50.0,87,90,41.03,US,1600698671
Dankov,53.25,39.16,59.0,44,32,35.03,RU,1600698671
Tevaitoa,-16.78,-151.5,78.58,78,45,47.29,PF,1600698671
Busselton,-33.65,115.33,55.99,77,38,23.06,AU,1600698671
Tual,-5.67,132.75,80.73,85,63,42.64,ID,1600698672
São Filipe,14.9,-24.5,80.22,79,100,7.36,CV,1600698672
Kloulklubed,7.04,134.26,78.8,88,75,13.02,PW,1600698672
Padang,-0.95,100.35,80.11,67,100,11.65,ID,1600698672
Coyhaique,-45.58,-72.07,50.0,61,17,10.51,CL,1600698672
Gunnedah,-30.98,150.25,66.2,82,76,25.52,AU,1600698673
Kasulu,-4.58,30.1,82.31,34,90,21.07,TZ,1600698673
Nikolskoye,59.7,30.79,59.0,62,40,20.02,RU,1600698673
Lenine,45.3,35.78,66.04,47,0,32.44,UA,1600698674
Kyra,49.58,111.98,42.1,81,100,5.66,RU,1600698674
Stanghelle,60.55,5.74,55.0,91,100,22.73,NO,1600698674
Novoagansk,61.94,76.66,52.54,84,79,16.75,RU,1600698674
Mount Gambier,-37.83,140.77,50.0,93,40,31.03,AU,1600698381
Esperance,-33.87,121.9,50.0,93,90,18.01,AU,1600698675
Mildura,-34.2,142.15,60.8,55,90,20.51,AU,1600698675
Okhotsk,59.38,143.3,45.66,76,0,14.36,RU,1600698675
Sikasso,10.92,-7.0,87.51,62,73,12.41,ML,1600698675
Collierville,35.04,-89.66,64.4,72,5,23.02,US,1600698503
Perry,37.25,-83.2,57.2,66,1,10.51,US,1600698676
Hambantota,6.12,81.12,75.2,100,75,2.51,LK,1600698676
Pimentel,-6.84,-79.93,60.8,87,90,20.51,PE,1600698677
Shakiso,5.75,38.92,66.92,77,82,4.09,ET,1600698677
Derzhavīnsk,51.1,66.32,46.51,75,75,35.88,KZ,1600698677
Eydhafushi,5.1,73.07,82.11,80,73,28.52,MV,1600698678
El Dovio,4.51,-76.24,73.4,88,75,2.1,CO,1600698678
Port Blair,11.67,92.75,81.73,83,100,26.42,IN,1600698678
Pangnirtung,66.15,-65.71,33.8,64,5,3.89,CA,1600698678
Severnoye,56.35,78.36,50.52,74,0,16.51,RU,1600698678
Saint-Philippe,-21.36,55.77,75.2,60,16,7.52,RE,1600698679
East London,-33.02,27.91,64.4,52,0,54.04,ZA,1600698679
Tynset,62.28,10.78,59.0,47,100,49.03,NO,1600698679
Alyangula,-13.85,136.42,73.4,88,0,6.11,AU,1600698680
Bugac,46.69,19.68,80.01,27,16,25.52,HU,1600698680
Ganzhou,28.82,115.43,64.18,92,100,9.26,CN,1600698680
Mossamedes,-15.2,12.15,69.8,77,90,25.52,AO,1600698680
Homer,59.64,-151.55,48.99,93,90,19.01,US,1600698680
Cabedelo,-6.98,-34.83,84.2,66,75,25.52,BR,1600698681
Tevriz,57.51,72.4,43.75,69,91,15.86,RU,1600698681
Wuwei,37.93,102.64,56.79,81,100,13.6,CN,1600698681
Charter Township of Clinton,42.59,-82.92,64.0,87,20,10.51,US,1600698584
Yichun,47.7,128.9,44.51,95,98,5.75,CN,1600698682
Los Llanos de Aridane,28.66,-17.92,80.6,65,20,25.52,ES,1600698414
Tokoroa,-38.23,175.87,50.0,91,29,1.1,NZ,1600698682
Naze,28.37,129.48,75.2,100,75,25.52,JP,1600698683
Commerce,34.0,-118.16,66.99,82,90,9.66,US,1600698584
Kavieng,-2.57,150.8,82.4,78,33,27.07,PG,1600698683
Ust-Nera,64.57,143.2,35.82,80,1,2.39,RU,1600698684
Yangjiang,21.85,111.97,80.38,82,100,8.37,CN,1600698684
Scottsbluff,41.87,-103.67,57.0,62,1,10.51,US,1600698685
Natal,-5.79,-35.21,86.0,66,75,38.52,BR,1600698685
Nouadhibou,20.93,-17.03,86.0,58,36,15.5,MR,1600698685
Diego de Almagro,-26.37,-70.05,78.13,17,0,13.76,CL,1600698685
Bykovo,55.64,38.08,59.0,71,75,20.02,RU,1600698686
Macaé,-22.37,-41.79,78.8,78,90,10.51,BR,1600698686
Salalah,17.02,54.09,82.4,88,75,25.52,OM,1600698686
Chase,50.82,-119.69,44.01,97,50,4.56,CA,1600698687
Clyde River,70.47,-68.59,30.2,92,90,23.02,CA,1600698687
Tiznit Province,29.58,-9.5,89.38,22,0,22.21,MA,1600698688
Cidreira,-30.18,-50.21,60.64,46,0,22.66,BR,1600698688
Abalak,15.45,6.28,97.23,25,32,7.25,NE,1600698689
Anamur,36.08,32.84,86.0,66,40,13.02,TR,1600698689
Grand Gaube,-20.01,57.66,73.0,68,39,22.37,MU,1600698689
Punta Arenas,-53.15,-70.92,42.8,87,75,5.01,CL,1600698690
Saskylakh,71.92,114.08,43.2,78,34,20.27,RU,1600698690
Wanning,18.8,110.4,80.67,82,44,3.31,CN,1600698690
San Jeronimo,29.37,-110.79,77.0,72,95,5.01,MX,1600698690
Ilhabela,-23.78,-45.36,69.03,91,100,17.27,BR,1600698691
Hobart,-42.88,147.33,52.0,76,40,15.5,AU,1600698670
Hasaki,35.73,140.83,68.0,88,75,7.52,JP,1600698691
Valdemārpils,57.37,22.59,59.0,82,90,25.52,LV,1600698691
Norman Wells,65.28,-126.83,28.4,92,40,5.01,CA,1600698692
Liangxiang,39.73,116.14,79.0,66,94,3.6,CN,1600698692
Kajansi,0.21,32.52,78.8,65,20,25.52,UG,1600698692
Linqiong,30.42,103.46,68.0,82,20,5.01,CN,1600698693
Hithadhoo,-0.6,73.08,82.29,76,100,33.17,MV,1600698693
Nahariya,33.01,35.09,84.2,62,20,23.02,IL,1600698693
Kadiri,14.12,78.17,74.71,78,100,26.37,IN,1600698664
Bluff,-46.6,168.33,53.01,66,100,22.37,NZ,1600698694
Arraial do Cabo,-22.97,-42.03,78.8,69,61,25.52,BR,1600698694
Coffs Harbour,-30.3,153.13,71.6,83,11,20.51,AU,1600698694
Necochea,-38.55,-58.74,48.99,70,5,13.4,AR,1600698695
Tottori-shi,35.5,134.23,64.99,76,65,10.51,JP,1600698562
Gizo Government Station,-8.1,156.84,81.73,76,44,6.46,SB,1600698695
Ende,-8.84,121.66,77.58,81,100,5.35,ID,1600698695
Turgutlu,38.5,27.7,84.2,45,40,33.53,TR,1600698695
Charagua,-19.8,-63.22,64.4,36,75,26.06,BO,1600698696
Grindavik,63.84,-22.43,42.8,75,75,51.54,IS,1600698696
Isangel,-19.55,169.27,70.43,83,3,16.55,VU,1600698696
Mabaruma,8.2,-59.78,90.95,55,89,12.37,GY,1600698696
Thunder Bay,48.4,-89.32,62.6,63,5,7.52,CA,1600698411
Mangaratiba,-22.96,-44.04,78.8,74,75,7.52,BR,1600698697
San Carlos del Zulia,9.0,-71.91,87.08,62,53,8.9,VE,1600698697
Barkly West,-28.54,24.52,77.0,15,0,25.52,ZA,1600698697
Bay Roberts,47.6,-53.26,55.0,53,71,16.82,CA,1600698698
Amuntai,-2.42,115.25,75.61,96,95,2.86,ID,1600698698
Batemans Bay,-35.72,150.18,62.01,94,28,11.21,AU,1600698698
Nishihara,26.18,127.76,80.6,88,40,20.51,JP,1600698698
Methóni,36.82,21.7,80.6,54,20,28.52,GR,1600698699
Port Hueneme,34.15,-119.2,60.8,100,90,3.2,US,1600698699
Niksar,40.59,36.95,67.33,64,86,12.82,TR,1600698699
Puerto Rondón,6.28,-71.1,86.7,70,44,4.25,CO,1600698699
Khazar,42.0,48.33,67.59,61,81,26.46,RU,1600698700
Los Zacatones,22.95,-102.05,55.4,87,20,3.71,MX,1600698700
Keti Bandar,24.14,67.45,86.16,73,46,32.23,PK,1600698701
Zhigansk,66.77,123.37,41.61,76,38,7.16,RU,1600698701
Kiunga,-6.12,141.29,74.62,97,62,6.67,PG,1600698701
Lincoln,-43.65,172.48,45.0,81,0,14.2,NZ,1600698701
Lagoa,39.05,-27.98,68.5,82,36,40.13,PT,1600698702
Mar del Plata,-38.0,-57.56,50.0,57,75,18.01,AR,1600698535
Usinsk,65.99,57.53,39.02,75,87,28.92,RU,1600698702
Kologriv,58.83,44.32,46.71,87,100,16.26,RU,1600698703
Luena,-11.78,19.92,88.12,23,70,12.66,AO,1600698703
Sola,-13.88,167.55,79.05,80,8,45.14,VU,1600698703
Erdenet,49.03,104.08,44.83,65,16,5.21,MN,1600698704
Sault Ste. Marie,46.52,-84.33,57.2,67,1,18.01,CA,1600698704
Otradnoye,59.78,30.82,57.99,76,100,13.06,RU,1600698704
Sioux Lookout,50.1,-91.92,60.8,72,5,28.52,CA,1600698704
Ilulissat,69.22,-51.1,30.2,86,75,5.01,GL,1600698705
Lugoba,-6.45,38.33,79.81,57,75,17.47,TZ,1600698705
Cape Canaveral,28.41,-80.6,82.99,58,20,31.03,US,1600698705
Faanui,-16.48,-151.75,77.9,79,30,46.53,PF,1600698706
Khandyga,62.67,135.6,42.15,82,41,2.26,RU,1600698706
Ilebo,-4.32,20.58,80.8,78,95,9.51,CD,1600698707
Never,53.98,124.17,43.41,76,100,8.57,RU,1600698707
Yar-Sale,66.83,70.83,48.16,85,33,23.51,RU,1600698707
Hanzhong,33.07,107.03,59.34,91,98,0.65,CN,1600698707
Hai’an,32.54,120.45,73.99,79,100,6.4,CN,1600698708
Mayumba,-3.43,10.66,75.27,84,90,24.72,GA,1600698708
Cayenne,4.93,-52.33,89.6,59,75,10.51,GF,1600698708
Chumikan,54.72,135.31,46.81,85,0,4.56,RU,1600698709
Vép,47.23,16.72,73.99,55,95,15.82,HU,1600698709
Springfield,37.22,-93.3,64.99,69,0,11.21,US,1600698678
Yellowknife,62.46,-114.35,39.99,100,90,18.01,CA,1600698608
Aasiaat,68.71,-52.87,30.6,97,99,12.71,GL,1600698709
Komsomol'skiy,43.98,46.7,63.82,54,0,28.92,RU,1600698709
Villa Rica,-10.74,-75.27,78.15,49,44,8.1,PE,1600698710
Palmer,42.16,-72.33,55.99,57,1,13.02,US,1600698710
Tasiilaq,65.61,-37.64,32.0,92,100,10.51,GL,1600698710
Noumea,-22.28,166.46,64.4,77,0,5.01,NC,1600698710
Pierre,44.37,-100.35,57.0,66,1,12.41,US,1600698711
Saldanha,-33.01,17.94,69.8,35,0,7.52,ZA,1600698711
Leshukonskoye,64.9,45.76,37.53,97,77,8.05,RU,1600698711
Narsaq,60.92,-46.05,35.6,74,75,5.01,GL,1600698712
Maţāy,28.42,30.78,98.02,18,0,24.11,EG,1600698712
Tombouctou,20.0,-3.0,106.95,9,0,12.66,ML,1600698712
Moose Factory,51.26,-80.61,59.0,62,1,41.03,CA,1600698713
San Patricio,19.22,-104.7,86.0,74,40,10.36,MX,1600698713
Khatanga,71.97,102.5,44.74,73,98,18.92,RU,1600698713
Sechura,-5.56,-80.82,68.14,70,98,17.96,PE,1600698713
Coquimbo,-29.95,-71.34,57.2,76,20,20.51,CL,1600698713
Emba,48.83,58.14,47.43,55,73,26.78,KZ,1600698714
Vostok,46.49,135.88,40.8,98,0,5.1,RU,1600698714
Akdepe,42.06,59.38,66.2,39,0,10.51,TM,1600698715
Port Augusta,-32.5,137.77,57.2,67,0,25.52,AU,1600698715
Nanortalik,60.14,-45.24,38.52,83,67,15.21,GL,1600698545
Udupi,13.35,74.75,75.2,94,90,10.51,IN,1600698715
Bud,62.91,6.91,55.4,82,75,74.56,NO,1600698715
Saint George,32.38,-64.68,80.01,94,90,51.54,BM,1600698716
Spring Hill,28.48,-82.53,82.99,69,40,36.04,US,1600698716
Atar,20.52,-13.05,97.88,30,89,25.37,MR,1600698716
Colares,38.8,-9.45,77.0,60,75,25.52,PT,1600698717
Alice Springs,-23.7,133.88,75.0,18,76,15.5,AU,1600698554
Bethel,41.37,-73.41,54.0,62,1,10.51,US,1600698533
Cherskiy,68.75,161.3,30.36,94,0,18.61,RU,1600698717
Mahibadhoo,3.78,72.97,82.63,78,100,28.72,MV,1600698718
Evensk,61.95,159.23,36.09,81,0,17.67,RU,1600698718
Leningradskiy,69.38,178.42,34.72,87,71,32.12,RU,1600698718
Ossora,59.24,163.07,36.9,80,36,13.15,RU,1600698719
Nantucket,41.28,-70.1,60.8,41,1,54.04,US,1600698719
Rosemount,44.74,-93.13,64.0,51,1,20.51,US,1600698457
Cabo San Lucas,22.89,-109.91,79.0,73,20,13.02,MX,1600698719
Kirsanov,52.65,42.72,53.46,62,21,24.16,RU,1600698719
Thinadhoo,0.53,72.93,82.81,77,100,33.33,MV,1600698720
La Asuncion,11.03,-63.86,87.8,70,63,18.01,VE,1600698720
Biloela,-24.42,150.5,65.89,93,22,15.7,AU,1600698721
Guerrero Negro,27.98,-114.06,74.62,69,0,15.77,MX,1600698721
Vardø,70.37,31.11,42.8,87,75,61.54,NO,1600698721
Sørkjosen,69.8,20.93,46.36,71,65,24.47,NO,1600698722
Babenhausen,49.97,8.96,82.0,25,0,0.6,DE,1600698722
Baykit,61.67,96.37,43.66,85,14,7.61,RU,1600698722
Bushehr,28.97,50.84,95.0,53,0,15.5,IR,1600698722
Three Hills,51.7,-113.27,51.01,93,75,7.52,CA,1600698723
Synya,65.37,58.04,37.85,88,100,12.55,RU,1600698723
Karratha,-20.74,116.85,68.36,35,0,17.52,AU,1600698723
Chokurdakh,70.63,147.92,37.92,87,0,20.22,RU,1600698723
Tazovsky,67.47,78.7,54.61,67,31,50.2,RU,1600698724
Tulun,54.56,100.58,45.28,92,35,11.41,RU,1600698724
Cape Town,-33.93,18.42,64.99,51,0,43.53,ZA,1600698688
Talnakh,69.49,88.4,48.2,81,58,60.04,RU,1600698725
Menongue,-14.66,17.69,94.78,13,81,6.46,AO,1600698725
Uglegorsk,49.08,142.03,50.92,76,63,11.61,RU,1600698725
Xai-Xai,-25.05,33.64,70.79,70,90,48.63,MZ,1600698726
Taltal,-25.4,-70.48,66.38,50,8,12.71,CL,1600698726
Morehead,-8.71,141.64,77.92,74,60,17.92,PG,1600698726
Butaritari,3.07,172.79,82.2,78,36,32.17,KI,1600698726
Anaco,9.44,-64.47,83.61,78,100,15.61,VE,1600698727
Kampong Thom,12.71,104.89,79.52,87,92,4.5,KH,1600698615
Ankazoabo,-22.28,44.52,81.14,37,0,28.32,MG,1600698727
Avarua,-21.21,-159.78,73.4,94,60,7.52,CK,1600698728
Takhtamygda,54.1,123.57,43.77,76,100,6.46,RU,1600698728
Halifax,44.65,-63.57,55.99,58,20,18.01,CA,1600698515
Bubaque,11.28,-15.83,80.08,76,78,21.56,GW,1600698728
Carnarvon,-24.87,113.63,62.6,77,0,36.04,AU,1600698728
Laizhou,37.18,119.93,63.59,79,88,13.76,CN,1600698729
Tura,64.28,100.25,38.91,85,0,9.1,RU,1600698729
Bairiki Village,1.33,172.98,80.6,78,20,18.01,KI,1600698729
Tabou,4.42,-7.35,78.17,83,83,28.63,CI,1600698730
Tando Ghulam Ali,25.13,68.87,96.46,39,88,24.16,PK,1600698730
Constitucion,23.99,-104.67,62.01,82,59,6.11,MX,1600698730
São João da Barra,-21.64,-41.05,75.2,78,48,31.47,BR,1600698730
Vila Velha,-20.33,-40.29,82.4,65,40,23.02,BR,1600698731
Port-Gentil,-0.72,8.78,84.2,70,40,35.97,GA,1600698731
Lingdong,46.57,131.15,45.23,93,30,3.2,CN,1600698731
